,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
10,"Around 87 Lakh Pilgrims Visited Jammu's Vaishno Devi Shrine In 2022, Highest In 9 Years",Nearly 87 lakh pilgrims have paid their obeisance at the famous Mata Vaishno Devi Shrine atop Trikuta hills in Reasi district of Jammu and Kashmir so far this year.,ndtv,L,nearly lakh pilgrim paid obeisance famous mata vaishno devi shrine atop trikuta hill reasi district jammu kashmir far year,0.0,0.0,1.0,0.0
11,Bulldozer Razes Pak-Based Terrorist's House In Kashmir's Pulwama,"In a first bulldozer action against terrorists in Jammu and Kashmir, the authorities have demolished the house of a terrorist in Pulwama.",ndtv,L,bulldozer action terrorist jammu kashmir authority demolished house terrorist pulwama,-0.8779,0.073,0.395,0.531
12,Chargesheet Filed Against Terrorist Under Terror Law In Jammu And Kashmir,"Jammu and Kashmir Police on Friday filed a chargesheet against a Lashkar-e-Taiba terrorist, in a case related to the Unlawful Activities (Prevention) Act.",ndtv,L,jammu kashmir police friday filed chargesheet lashkar taiba terrorist case related unlawful activity prevention act,-0.6908,0.0,0.749,0.251
13,Jammu And Kashmir Police Recruitment Cleared For Now But Results On Hold,"Overruling a single-judge bench of the Jammu and Kashmir High Court, two judges of the same court allowed the J&K Service Selection Board to go ahead with exams, but stopped it from declaring results till further orders.",ndtv,L,overruling single judge bench jammu kashmir high court judge court allowed service selection board ahead exam stopped declaring result till order,-0.2263,0.0,0.913,0.087
14,"Kashmir Recruitment Exams Cancelled By Court Over ""Brazen Irregularities""",The Jammu and Kashmir High Court has cancelled recruitment exams of police sub-inspectors and junior engineers for awarding the contract to conduct exams to a blacklisted agency.,ndtv,L,jammu kashmir high court cancelled recruitment exam police sub inspector junior engineer awarding contract conduct exam blacklisted agency,0.2263,0.139,0.766,0.096
15,JKBOSE Announces 12th Jammu Division Result 2022,JKBOSE 12th Jammu Division Result 2022: The candidates who had appeared for the Class 12 part two exam can check the result on the official website- jkbose.nic.in,ndtv,L,jkbose th jammu division result candidate appeared class exam check result official website jkbose nic,0.0,0.0,1.0,0.0
16,"On Killing of Kashmiri Pandits In 1990s, Supreme Court Dismisses Plea For Relook",Plea sought reconsideration of court's 2017 order dismissing a plea that had sought investigation into alleged mass murder in Kashmir,ndtv,L,plea sought reconsideration court order dismissing plea sought investigation alleged mass murder kashmir,-0.6908,0.0,0.719,0.281
17,"""Will Protect Journalists, Pandits In Kashmir,"" Says Home Ministry Amid Fresh Threats","The Union Home Ministry said the government has taken several steps to protect the lives of people, including media persons, as security and intelligence agencies remain deployed across Jammu and Kashmir to thwart terrorists and their handlers",ndtv,L,union home ministry said government taken step protect life people including medium person security intelligence agency remain deployed jammu kashmir thwart terrorist handler,0.34,0.255,0.597,0.148
18,Omar Abdullah Appoints Mudassar Shahmiri As His Political Advisor,National Conference Vice-President and former Jammu and Kashmir chief minister Omar Abdullah today appointed Mudassar Shahmiri as his political advisor.,ndtv,L,national conference vice president jammu kashmir chief minister omar abdullah today appointed mudassar shahmiri political advisor,0.0,0.0,1.0,0.0
19,3 Kashmiri Pandits Among 14 Minorities Killed In Jammu & Kashmir In 2022: Centre,"As many as 14 people belonging to minority communities, including three Kashmiri Pandits, have been killed in Jammu and Kashmir this year so far, the Rajya Sabha was informed on Wednesday.",ndtv,L,people belonging minority community including kashmiri pandits killed jammu kashmir year far rajya sabha informed wednesday,-0.6705,0.0,0.769,0.231
20,8 Kashmir Journalists Received Terror Threat Online: Minister In Parliament,"Eight journalists working in Kashmir have received threat from terrorists online and four of them have reportedly resigned from their jobs, Union Minister of State for Home Nityanand Rai said in the Rajya Sabha today.",ndtv,L,journalist working kashmir received threat terrorist online reportedly resigned job union minister state home nityanand rai said rajya sabha today,-0.8779,0.0,0.627,0.373
21,"Suspected Blast Near Sidhra Bridge In Jammu And Kashmir, Search Underway","A suspected blast was reported near the Sidhra bridge checking point in Jammu on Tuesday evening, said police.",ndtv,L,suspected blast reported near sidhra bridge checking point jammu tuesday evening said police,-0.2263,0.0,0.863,0.137
22,Journalist Khalid Gul Arrested From Kashmir's Anantnag In 2017 Case,"Police on Tuesday arrested a journalist from Anantnag district of Jammu and Kashmir in connection with a 2017 case, officials said.",ndtv,L,police tuesday arrested journalist anantnag district jammu kashmir connection case official said,-0.4767,0.0,0.78,0.22
23,Jammu And Kashmir Cop Loses Promotion Over Second Marriage,"The Jammu and Kashmir administration on Tuesday imposed a penalty to withhold promotion for a period of two years of a deputy superintendent of police for contracting second marriage without first obtaining the permission of the government, officials",ndtv,L,jammu kashmir administration tuesday imposed penalty withhold promotion period year deputy superintendent police contracting second marriage obtaining permission government official,-0.5106,0.0,0.807,0.193
24,Pilgrims At Jammu's Mata Vaishno Devi Shrine Likely To Cross 1 Crore,"The Mata Vaishno Devi shrine, which is located on Trikota Mountain in the Reasi District of Jammu Province, is set to welcome more than one crore pilgrims this year after being closed for over two years due to the worldwide Covid-19 pandemic.",ndtv,L,mata vaishno devi shrine located trikota mountain reasi district jammu province set welcome crore pilgrim year closed year worldwide covid pandemic,0.4588,0.13,0.87,0.0
25,"""BJP Exploiting Pain, Suffering Of Kashmiri Pandits,"" Says Mehbooba Mufti","Commenting on the leakage of a list of Kashmiri Pandit employees posted in Kashmir, the Peoples' Democratic Party chief said it was unfortunate that such information was being made public",ndtv,L,commenting leakage list kashmiri pandit employee posted kashmir people democratic party chief said unfortunate information public,-0.0772,0.137,0.711,0.152
26,"Days After Terror Group's Kashmiri Pandits ""Hit List"", A High-Level Review","Union Home Secretary Ajay Bhalla on Tuesday reviewed the security situation in Jammu and Kashmir, officials said, days after a terrorist group released a ""hit list"" of 56 employees belonging to the Kashmiri Pandit community.",ndtv,L,union home secretary ajay bhalla tuesday reviewed security situation jammu kashmir official said day terrorist group released hit list employee belonging kashmiri pandit community,-0.5106,0.082,0.756,0.162
27,Home Ministry To Review Security In Kashmir At Hold High-Level Meet Today,"Union Home Secretary Ajay Kumar Bhalla will chair a high-level security review meeting on Jammu and Kashmir, here this afternoon, sources said on Tuesday.",ndtv,L,union home secretary ajay kumar bhalla chair high level security review meeting jammu kashmir afternoon source said tuesday,0.34,0.124,0.876,0.0
28,"""Express Remorse In Person"": Court After Vivek Agnihotri's Written Apology For Tweet About Judge","Vivek Agnihotri, through his lawyer, said he had deleted the tweet; the lawyer assisting the court said he had not, but Twitter had taken it down",ndtv,L,vivek agnihotri lawyer said deleted tweet lawyer assisting court said twitter taken,0.0,0.0,1.0,0.0
29,"Srinagar Records Season's Coldest Night, Pahalgam Freezes At -4.4 Degrees","At minus 3.4 degrees Celsius, Srinagar recorded the coldest night of the season so far even as the mercury settled below the freezing point across Kashmir, officials said on Monday.",ndtv,L,minus degree celsius srinagar recorded coldest night season far mercury settled freezing point kashmir official said monday,-0.1027,0.0,0.92,0.08
30,Rs 3 lakh crore for Northeast border roads: Nitin Gadkari at Express Adda,"Gadkari said strategic connectivity projects are coming up in all border areas, linking to the national highway network.",indianexpress,N,gadkari said strategic connectivity project coming border area linking national highway network,0.0,0.0,1.0,0.0
31,House panel for urgent measures to improve living conditions at CRPF camp in Srinagar,The Parliamentary Standing Committee on Home Affairs headed by BJP’s Rajya Sabha member Brijlal had tabled its report in the Upper House on Tuesday.,indianexpress,N,parliamentary standing committee home affair headed bjp rajya sabha member brijlal tabled report upper house tuesday,0.0,0.0,1.0,0.0
32,"‘Next time, research more seriously’: Anurag Kashyap responds to Vivek Agnihotri’s ‘Bollywood’s one & only Milord’ tweet","Anurag Kashyap, who has been maintaining a low profile on Twitter for the last month, spoke out on Wednesday after Vivek Agnihotri shared a screenshot of a purported conversation at a roundtable organised by a digital media outlet.",indianexpress,N,anurag kashyap maintaining low profile twitter month spoke wednesday vivek agnihotri shared screenshot purported conversation roundtable organised digital medium outlet,0.0772,0.107,0.8,0.093
33,"UPSC Key- December 14, 2022: Why you should read ‘Tawang and Yangtse’ or ‘Fusion Energy’ or ‘Family Pehchan patra for J&K Residents’ for UPSC CSE","Exclusive for Subscribers from Monday to Friday: The Indian Express UPSC Key December 14, 2022 will help you prepare for the Civil Services and other competitive examinations with cues on how to read and understand content from the most authoritative news source in India.",indianexpress,N,exclusive subscriber monday friday indian express upsc key december help prepare civil service competitive examination cue read understand content authoritative news source india,0.5994,0.228,0.772,0.0
34,"Vijay tops most popular Tamil stars list, Ajith in second position","Vijay overtakes Ajith, Suriya, Kamal Haasan and Rajinikanth to become the most popular male superstar in Tamil cinema.",indianexpress,N,vijay overtakes ajith suriya kamal haasan rajinikanth popular male superstar tamil cinema,0.4215,0.203,0.797,0.0
35,"Paparazzi answers how they find whereabouts of celebs, if stars pay them: ‘They never pay’",Celebrities get clicked at all hours of the day and the people behind the cameras talk about the growing culture of paparazzi in India.,indianexpress,N,celebrity clicked hour day people camera talk growing culture paparazzo india,0.1779,0.145,0.855,0.0
36,Veteran alumni of 39th course of NDA to reunite today,The golden jubilee celebrations of the passing out of the 39th course of the NDA were postponed due to the pandemic. It will be held on December 15 and 16.,indianexpress,N,golden jubilee celebration passing th course nda postponed pandemic held december,-0.2023,0.0,0.847,0.153
37,SC to consider listing of pleas challenging abrogation of Article 370 giving special status to J&K,"“We will examine and give a date,” a bench comprising Chief Justice D Y Chandrachud and Justice P S Narasimha said when intervenor Radha Kumar, an academic and author, sought early listing of the petitions on the issue.",indianexpress,N,examine date bench comprising chief justice chandrachud justice narasimha said intervenor radha kumar academic author sought early listing petition issue,0.7783,0.274,0.726,0.0
38,"When Karan Johar had a ‘loose motion attack’ while shooting Bole Chudiyan, fainted: ‘There was a drip in my hand, Amitabh Bachchan sitting next to me’",Karan Johar recalled that he was so nervous to shoot with Amitabh Bachchan on Kabhi Khushi Kabhie Gham that he fainted on the sets of the film.,indianexpress,N,karan johar recalled nervous shoot amitabh bachchan kabhi khushi kabhie gham fainted set film,-0.5423,0.0,0.727,0.273
39,"RRR, KGF 2, Kantara among IMDb’s 10 most popular Indian movies of 2022; The Kashmir Files only Hindi film to make it to list",The Kashmir Files is the only Hindi film to make it to the list of Top 10 most popular Indian movies of 2022 as per IMDb.,indianexpress,N,kashmir file hindi film make list popular indian movie imdb,0.4215,0.237,0.763,0.0
40,"Maharashtra panel tracking intercaste, interfaith marriages: Who is Mangal Prabhat Lodha, the minister heading it?","Lodha was recently in the eye of a storm over comments on Shivaji. The son of former Guwahati High Court chief justice Guman Lal Lodha, he made it big in the real-estate business.",indianexpress,N,lodha recently eye storm comment shivaji son guwahati high court chief justice guman lal lodha big real estate business,0.5267,0.159,0.841,0.0
41,"Vivek Agnihotri takes a dig at Anurag Kashyap’s comment on Kantara, calls him ‘Bollywood’s one and only milord’","Vivek Agnihotri took to social media to take a dig at Anurag Kashyap’s comment on the success of Kantara and Pushpa, and how that could destroy the industry.",indianexpress,N,vivek agnihotri took social medium dig anurag kashyap comment success kantara pushpa destroy industry,0.0516,0.193,0.625,0.182
42,"A year after murder of Sikh leader in Delhi, accused nabbed from Jammu","SSP Jammu Chandan Kohli said Harpreet opened fire in a bid to escape, but was overpowered by the police.",indianexpress,N,ssp jammu chandan kohli said harpreet opened bid escape overpowered police,0.1779,0.145,0.855,0.0
43,"In G20 days, govt plans to bust touts, louts with tourist police at key spots","To resolve issues of uniformity and coordination, the government had organised the DGPs’ conference on October 19, ahead of India’s G20 Presidency, to implement the uniform tourist police scheme based on a report submitted by Bureau of Police Research and Development (BPR&D).",indianexpress,N,resolve issue uniformity coordination government organised dgps conference october ahead india presidency implement uniform tourist police scheme based report submitted bureau police research development bpr,0.3818,0.098,0.902,0.0
44,"How J&K’s proposed family ID will work, and why it is being criticised","According to officials, the card will be a single identifier for every family and individual in the UT that will instantly confirm their eligibility for government welfare schemes and facilitate direct transfer of benefits to their bank accounts with minimum human interference.",indianexpress,N,according official card single identifier family individual ut instantly confirm eligibility government welfare scheme facilitate direct transfer benefit bank account minimum human interference,0.4588,0.12,0.88,0.0
45,"Scared of working in Kashmir, reserved category employees protest in Jammu","Following a spate of attacks since last year targeting reserved category workers, protesters are afraid to return to work in Muslim-majority Kashmir.",indianexpress,N,following spate attack year targeting reserved category worker protester afraid return work muslim majority kashmir,-0.4767,0.0,0.819,0.181
46,"‘Who’s the Pappu now?’ Note ban to ED raids to economy, Mahua Moitra has a question for govt",“The ruling party buys lawmakers for hundreds of crores in cash and yet members of the Opposition represent 95% of lawmakers under investigation by ED… Is ED meant to harass citizens or track down perpetrators of financial crimes?” says TMC MP.,indianexpress,N,ruling party buy lawmaker hundred crore cash member opposition represent lawmaker investigation ed ed meant harass citizen track perpetrator financial crime say tmc mp,-0.802,0.083,0.613,0.304
47,Amit Shah: Disruption Congress ploy to avoid questions on China funding to Rajiv Gandhi Foundation,The Opposition’s demand for a discussion on the reports of clashes between Indian and Chinese soldiers at the Line of Actual Control (LAC) in Tawang sector led to an abrupt adjournment of proceedings.,indianexpress,N,opposition demand discussion report clash indian chinese soldier line actual control lac tawang sector led abrupt adjournment proceeding,-0.128,0.0,0.919,0.081
48,Ajay Devgn says only stars can’t be blamed for Bollywood’s underwhelming performance: ‘Stars bring credibility’,Actor Ajay Devgn’s directorial Runway 34 received more success after its release on digital platform as compared to theatrical run. The actor also spoke about how star system is being held responsible for Bollywood’s poor show in 2022.,indianexpress,N,actor ajay devgn directorial runway received success release digital platform compared theatrical run actor spoke star held responsible bollywood poor,0.4404,0.23,0.651,0.119
49,"India condemns OIC secretary general’s visit to PoK, his comments on J&K",Taha visitted PoK during his three-day visit to Pakistan from December 10 to 12.,indianexpress,N,taha visitted pok day visit pakistan december,0.0,0.0,1.0,0.0
50,"SS Rajamouli holds ‘high fees to actors, directors’ responsible for Hindi cinema’s poor show in 2022: ‘Hunger to succeed has come down’",SS Rajamouli said that a filmmaker must not become ‘complacent’ if their film starts doing good business.,indianexpress,N,rajamouli said filmmaker complacent film start doing good business,0.3818,0.259,0.625,0.116
51,"In Gujarat, BJP manifesto committed to deradicalisation programmes – dealing with terror is more complex than a paper promise",Kabir Taneja writes: The legal systems in India lag when it comes to the fast-adapting formats of radicalisation. Policy can seldom keep up with technology.,indianexpress,N,kabir taneja writes legal system india lag come fast adapting format radicalisation policy seldom technology,-0.2263,0.089,0.769,0.142
52,Why these winters in Delhi are not wintry enough,"The maximum temperature on Monday, for instance, was 27.1 degrees Celsius, four degrees above the normal for this time of the year.",indianexpress,N,maximum temperature monday instance degree celsius degree normal time year,0.0,0.0,1.0,0.0
53,Zero Hour: Adhir Ranjan Chowdhury demands debate on law and order situation,"“I demand that in view of the deteriorating law and order situation, there needs to be a discussion on internal security in the House,” Chowdhury said.",indianexpress,N,demand view deteriorating law order situation need discussion internal security house chowdhury said,0.2263,0.161,0.738,0.101
54,"ITA Awards 2022 complete winners list: Varun Dhawan, Nakuul Mehta, The Kashmir Files win big","ITA Awards 2022 complete winners list: Varun Dhawan, Anil Kapoor, Raveena Tandon, Nakuul Mehta, Disha Parmar and Arjun Bijlani won big at the Indian Television Academy Awards.",indianexpress,N,ita award complete winner list varun dhawan anil kapoor raveena tandon nakuul mehta disha parmar arjun bijlani won big indian television academy award,0.9382,0.433,0.567,0.0
55,Latest amendment to Wildlife Protection Act continues the tendency to foster criminalisation in the garb of conservation,The Wildlife Protection Act has attenuated the beneficial provisions of the Forest Rights Act,indianexpress,N,wildlife protection act attenuated beneficial provision forest right act,0.4404,0.266,0.734,0.0
56,"Drishyam 2 box office: Ajay Devgn and Tabu’s film has a victorious fourth weekend, Kajol’s Salaam Venky struggles","Drishyam 2 box office: Ajay Devgn and Tabu’s film has a victorious fourth weekend, while Kajol’s Salaam Venky puts up a tough fight.",indianexpress,N,drishyam box office ajay devgn tabu film victorious fourth weekend kajol salaam venky put tough fight,-0.4767,0.0,0.773,0.227
57,Temperature in Delhi likely to fall over the week ahead: IMD,The air quality in Delhi has remained in the ‘very poor’ category over the past three days. Air Quality Index (AQI) on Sunday was 306. AQI between 301 and 400 is considered to be ‘very poor’.,indianexpress,N,air quality delhi remained poor category past day air quality index aqi sunday aqi considered poor,-0.7351,0.0,0.693,0.307
58,Imran Khan’s party threatens to dissolve Punjab and KPK assemblies if govt fails to announce election dates by Dec 20,"Imran Khan, 70, had last month announced that his lawmakers will resign from the provincial assemblies as he withdrew a threat to march on the capital Islamabad by saying that it would result in destruction.",indianexpress,N,imran khan month announced lawmaker resign provincial assembly withdrew threat march capital islamabad saying result destruction,-0.8591,0.0,0.578,0.422
59,It’s unfair to criticise Jawaharlal Nehru for rejecting Kashmir Maharaja Hari Singh’s initial offer to accede to India,"Nehru had been urging the Maharaja to induct Sheikh Abdullah, the leader of the secular National Conference, into the state government in order to ensure popular support for the administration. The Maharaja indicated that he was not prepared to do so",indianexpress,N,nehru urging maharaja induct sheikh abdullah leader secular national conference state government order ensure popular support administration maharaja indicated prepared,0.8402,0.385,0.615,0.0
60,Nine Kashmiri Pandits killed in Jammu and Kashmir in 3 years: Govt,"Union Minister of State for Home Nityanand Rai said four Kashmiri Pandits were killed in 2022 and as many in 2021, while one was killed in 2020.",newsexp,R,union minister state home nityanand rai said kashmiri pandits killed killed,-0.875,0.0,0.5,0.5
61,ITA Awards 2022: Varun Dhawan wins ‘Actor of the Decade’; The Kashmir Files bags Golden Laurel,"With the 22nd ITA Awards announced, here’s how the event unfolded",newsexp,R,nd ita award announced event unfolded,0.5423,0.412,0.588,0.0
62,India slams: ‘OIC has no locus standi on Kashmir’,The OIC has a 57-member group of largely Muslim-majority nations and India has said that the OIC has already lost its credibility.,newsexp,R,oic member group largely muslim majority nation india said oic lost credibility,-0.3182,0.0,0.827,0.173
63,"Retired govt official, wife killed as car plunges into gorge in Jammu and Kashmir",Mangat Ram (62) and his wife Shakuntla Devi (58) were on their way to Jammu from their Gandoh residence and the accident occured near Jathi village.,newsexp,R,mangat ram wife shakuntla devi way jammu gandoh residence accident occured near jathi village,-0.4767,0.0,0.807,0.193
64,"Not 11, this Kashmiri man uses 16 ingredients for his special kehwa","His kehwa includes saffron, almond, walnut, cashew nut, honey, cinnamon, ginger, sangram, chai pati, rose petals, dates and cardamom.",newsexp,R,kehwa includes saffron almond walnut cashew nut honey cinnamon ginger sangram chai pati rose petal date cardamom,0.0,0.0,1.0,0.0
65,Re-poll in two DDC constituencies of Jammu and Kashmir,"The State Election Commissioner has appealed voters to come out and cast their votes without any fear and strengthen the democratic process by participating in large numbers, the officials said.",newsexp,R,state election commissioner appealed voter come cast vote fear strengthen democratic process participating large number official said,-0.1531,0.173,0.673,0.154
66,"'The Kashmir Files' row: Three IFFI jurors back Nadav Lapid, Indian member Sen differs","The film, which opened to polarised reactions on March 11, is one of the most commercially successful Hindi films of the year.",newsexp,R,film opened polarised reaction march commercially successful hindi film year,0.5859,0.297,0.703,0.0
67,The Kashmir Files is disguised as a film,"Some think of Battleship Potemkin by Sergei Eisenstein as a propaganda movie, but it's a masterpiece.",newsexp,R,think battleship potemkin sergei eisenstein propaganda movie masterpiece,0.4588,0.336,0.41,0.254
68,Agri university professor arrested in Jammu and Kashmir after student alleges sexual harassment,The students demanded stern action against the accused who is the head of the division of agriculture extension and communication at the university.,newsexp,R,student demanded stern action accused head division agriculture extension communication university,-0.4767,0.0,0.687,0.313
69,"'The Kashmir Files' controversy: Apologies if my remarks were interpreted differently, says Nadav Lapid","The acclaimed director, known for his anti-establishment stance, said his remarks were neither a statement on the political situation in Kashmir nor a denial of the tragedy.",newsexp,R,acclaimed director known anti establishment stance said remark statement political situation kashmir denial tragedy,-0.7717,0.0,0.642,0.358
70,Who is the Israeli filmmaker who criticized ‘The Kashmir Files’ at IFFI?,"Nadav Lapid, a writer and filmmaker, recepient of the Chevalier des Arts et des Lettres, called the Indian film 'The Kashmir Files', ""vulgar"" and ""propaganda"" at IFFI held in Goa.",newsexp,R,nadav lapid writer filmmaker recepient chevalier de art et de lettres called indian film kashmir file vulgar propaganda iffi held goa,-0.25,0.0,0.909,0.091
71,Women in this north Kashmir town grow mushrooms for income,"The district administration provides an initial support fund of Rs 15,000 to each women entrepreneur along with 100 bags of mushroom seeds known as spawn.",newsexp,R,district administration provides initial support fund woman entrepreneur bag mushroom seed known spawn,0.4019,0.184,0.816,0.0
72,"Israeli director under fire for comments on 'The Kashmir Files', international jury says 'personal opinion'","A day after the director described the 'The Kashmir Files' as ""propaganda"" and ""vulgar"", BJP leaders, actors and the film's director Vivek Agnihotri also joined the discourse against him.",newsexp,R,day director described kashmir file propaganda vulgar bjp leader actor film director vivek agnihotri joined discourse,-0.25,0.0,0.882,0.118
73,SC lawyer files police complaint against IFFI jury head for remarks on 'The Kashmir Files',The film 'The Kashmir Files' is based on the 'exodus and killings' of Kashmiri Pandits in the Valley in the 1990s by Islamic terrorists.,newsexp,R,film kashmir file based exodus killing kashmiri pandits valley islamic terrorist,-0.8779,0.0,0.497,0.503
74,"""Hate gets called out, eventually"": Congress on Israeli filmmaker's criticism of 'The Kashmir Files'","The attack by the Opposition party leaders came after Lapid, the jury head of the 53rd International Film Festival of India (IFFI), on Monday described the Hindi film as ""propaganda"" and ""vulgar"".",newsexp,R,attack opposition party leader came lapid jury head rd international film festival india iffi monday described hindi film propaganda vulgar,0.2023,0.219,0.593,0.189
75,BJP's IT department head Amit Malviya slams Israeli filmmaker's criticism of 'Kashmir Files',"The party's IT department head said, ""For the longest time, people even denied the Holocaust and called Schindler's List a 'propaganda', just like some are doing to Kashmir Files.",newsexp,R,party department head said longest time people denied holocaust called schindler list propaganda just like doing kashmir file,0.0772,0.216,0.581,0.203
76,Vivek Agnihotri takes indirect dig at IFFI jury head for comments on 'The Kashmir Files',"Jury Head Nadav Lapid had called 'The Kashmir Files' a ""propaganda, vulgar film"", adding that he was ""shocked"" to see the film in the competition section of such a prestigious film festival.",newsexp,R,jury head nadav lapid called kashmir file propaganda vulgar film adding shocked film competition section prestigious film festival,-0.0258,0.142,0.667,0.191
77,'You should be ashamed': Envoy to Israeli filmmaker on 'Kashmir Files' remark row,"Gilon, in a series of tweets, rebuked Lapid and emphasized how the friendship between the people and the states of India and Israel is very strong and will survive the damage inflicted by him.",newsexp,R,gilon series tweet rebuked lapid emphasized friendship people state india israel strong survive damage inflicted,0.4588,0.29,0.561,0.15
78,"""Shameful"" says Anupam Kher after IFFI Jury head calls 'The Kashmir Files' as 'propaganda film'","Lapid termed 'The Kashmir Files' a ""propaganda, vulgar film"", adding that he was ""shocked"" to see the film in the competition section of such a prestigious film festival.",newsexp,R,lapid termed kashmir file propaganda vulgar film adding shocked film competition section prestigious film festival,-0.0258,0.164,0.615,0.221
79,IFFI jury head describes 'The Kashmir Files' as 'propaganda' and 'vulgar',"Nadav Lapid described The Kashmir Files as ""propaganda"" and ""vulgar"" in the presence of Union information and broadcasting minister Anurag Thakur.",newsexp,R,nadav lapid described kashmir file propaganda vulgar presence union information broadcasting minister anurag thakur,-0.25,0.0,0.867,0.133
80,"Kashmiri Pandits hold barefoot march in Jammu, demand to ensure their 'Right to Life'","""The people of Kashmir are with us in this fight. Kashmiri Pandits are becoming scapegoats due to the targeted killings. The migrant workers from other states are being killed,"" protestor said.",newsexp,R,people kashmir fight kashmiri pandits scapegoat targeted killing migrant worker state killed protestor said,-0.9349,0.0,0.413,0.587
81,"Jammu and Kashmir: Mother, son burnt alive after LPG cylinder catches fire and explodes",At least one dozen livestock also died in the incident.,newsexp,R,dozen livestock died incident,-0.5574,0.0,0.455,0.545
82,"Probe over online threats: Houses, offices of journalists raided in Jammu and Kashmir",It said the ongoing searches were undertaken following leads received during similar searches a few days ago in the same case.,newsexp,R,said ongoing search undertaken following lead received similar search day ago case,0.0,0.0,1.0,0.0
83,Bihar labourers ‘vow’ to never go back to Jammu and Kashmir after terrorist attack,"In the terrorist attack in J&K’s Anantnag district on November 3, a migrant worker from Bihar, Bhikhu alias Raju Ram, and a Nepali Bahadur Thapa were injured.",newsexp,R,terrorist attack anantnag district november migrant worker bihar bhikhu alias raju ram nepali bahadur thapa injured,-0.8885,0.0,0.553,0.447
84,India rebukes Pak for raising Kashmir issue in UN assenbly,"India’s Permanent Representative to the UN, Ambassador Ruchira Kamboj spoke on behalf of the Group of Four, which also comprises Brazil, Germany and Japan.",newsexp,R,india permanent representative ambassador ruchira kamboj spoke behalf group comprises brazil germany japan,0.0,0.0,1.0,0.0
85,‘Kashmir not safe’: Pandits write to Prez Murmu,Pandit employees posted in the Valley have alleged that they were forced to sign bonds before joining government jobs in militancy-hit Kashmir.,newsexp,R,pandit employee posted valley alleged forced sign bond joining government job militancy hit kashmir,-0.4588,0.0,0.812,0.188
